歌手：Charlie Puth,所属专辑：Nine Track Mind Deluxe,River,440317256,15969,[73212, 30959, 20955, 16342, 15662, 13674, 7039, 6718, 5992, 5718, 3391, 3020, 2579, 2573, 2557]
歌手：Bruno Mars,所属专辑：It´s Better If You Don´t Understand,Talking to the Moon,25657274,33316,[91878, 52691, 39493, 23607, 19584, 17916, 16701, 14060, 13585, 10037, 8342, 7953, 7236, 6515, 6252]
歌手：Icon For Hire,所属专辑：Icon For Hire,Hope of Morning,27849889,4343,[4813, 1434, 898, 771, 390, 379, 195, 174, 168, 155, 148, 137, 120, 115, 85]
歌手：陈奕迅,所属专辑：The Key,斯德哥尔摩情人,27483204,19024,[52715, 37950, 30854, 23539, 18843, 17773, 14062, 13959, 9469, 8534, 8444, 6901, 6037, 4593, 3485]
歌手：田馥甄,所属专辑：日常,独善其身,417953669,5782,[7708, 5340, 4608, 3644, 3214, 2941, 1958, 1795, 1639, 1502, 896, 869, 806, 538, 349]
歌手：王菲,所属专辑：尘埃,尘埃,422132597,16910,[27692, 18796, 10214, 9498, 7846, 6746, 4954, 3614, 3089, 2537, 2130, 1473, 1178, 638, 555]
歌手：Arash / Helena,所属专辑：One Day,One Day (Radio Edit),28400719,5371,[6006, 3559, 2146, 2060, 1812, 1618, 943, 705, 664, 484, 482, 397, 368, 336, 195]
歌手：D.Mao / ANNI.7,所属专辑：幻听（Happy Birthday To Me）,幻听(환청)（Cover 张在仁 / NaShow）,480204711,3615,[10355, 7765, 4152, 2737, 2554, 2497, 2375, 2110, 1914, 1701, 1575, 1172, 910, 843, 655]
歌手：MARINA,所属专辑：FROOT,Savages,30590929,7338,[6297, 4254, 3486, 2013, 1813, 982, 778, 704, 651, 495, 378, 159, 143, 142, 77]
歌手：Edward Maya,所属专辑：Love Story (Edward Maya Presents Violet Light),Love Story,32465166,18337,[32356, 21158, 13194, 11818, 4286, 3148, 2796, 1887, 1849, 1348, 922, 543, 530, 439, 430]
歌手：金培达,所属专辑：伊莎贝拉电影原声大碟,Road to Freedom,25982717,3285,[5419, 4674, 3115, 2999, 2900, 1963, 1307, 1242, 1135, 1125, 1011, 926, 840, 415, 370]
歌手：马连良,所属专辑：热门华语230,我正在城楼观山景,28936325,738,[679, 410, 346, 287, 270, 205, 200, 134, 127, 112, 25, 20, 12, 12]
歌手：State Of The Heart,所属专辑：Pure Sax,You Are Not Alone,22488194,5063,[14858, 10255, 4721, 2607, 2252, 2227, 1844, 1566, 1175, 1119, 702, 315, 246, 196, 131]
歌手：Bob Seger,所属专辑：Stranger in Town,Old Time Rock & Roll,1098827,11539,[28531, 15756, 10707, 8543, 7469, 5717, 4641, 2781, 2627, 1548, 911, 764, 679, 651, 559]
歌手：白小白,所属专辑：最后我们没在一起,最后我们没在一起,535793433,47898,[63897, 56636, 41772, 31866, 25445, 23119, 13238, 11878, 9465, 9132, 7868, 6945, 6173, 5871, 2528]
